Site Id AF,Name,Site_Id NEON,Principal Investigator,Data Availability,Vegetation Abbreviation (IGBP),Vegetation Description (IGBP),Climate Class Abbreviation (Koeppen),Climate Class Description (Koeppen),Mean Average Precipitation (mm),Mean Average Tempurature (degrees C),Country,Latitude (degrees),Longitude (degrees),Elevation (m),Years of Data
US-xDS,NEON Disney Wilderness Preserve ,DSNY,Stefan Metzger (neon-ameriflux@battelleecology.org),,CVM,"Cropland/Natural Vegetation Mosaics: Lands with a mosaic of croplands, forest, shrublands, and grasslands in which no one component comprises more than 60% of the landscape",Cfa,"Humid Subtropical: mild with no dry season, hot summer",1216.09,22.5,USA,28.12504,-81.4362,15,
US-xYE,NEON Yellowstone Northern Range ,YELL,David Durden (ddurden@battelleecology.org),,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",493.44,3.4,USA,44.95348,-110.53914,2116,
US-xGR,"NEON Great Smoky Mountains National Park, Twin Creeks ",GRSM,Stefan Metzger (neon-ameriflux@battelleecology.org),,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1375,13.1,USA,35.68896,-83.50195,579,
PR-xGU,NEON Guanica Forest ,GUAN,David Durden (ddurden@battelleecology.org),,EBF,Evergreen Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage.,Am,Tropical monsoon,1168,25,Puerto Rico,17.96955,-66.8687,143,
US-xHA,NEON Harvard Forest ,HARV,Cove Sturtevant (csturtevant@battelleecology.org),,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1071,6.62,USA,42.5369,-72.17266,351,2017
US-xHE,NEON Healy ,HEAL,Stefan Metzger (neon-ameriflux@battelleecology.org),,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,ET,Tundra,320,-4,USA,63.87569,-149.21334,705,
US-xJE,NEON Jones Ecological Research Center ,JERC,David Durden (ddurden@battelleecology.org),,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1307.97,19.2,USA,31.19484,-84.46861,44,
US-xJR,NEON Jornada LTER ,JORN,Stefan Metzger (neon-ameriflux@battelleecology.org),,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bsk,Steppe: warm winter,271.33,15.7,USA,32.59068,-106.84254,1329,
US-xKA,NEON Konza Prairie Biological Station - Relocatable ,KONA,Cove Sturtevant (csturtevant@battelleecology.org),,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",850.63,12.7,USA,39.11044,-96.61295,1329,
US-xKZ,NEON Konza Prairie Biological Station ,KONZ,Stefan Metzger (neon-ameriflux@battelleecology.org),,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",870.38,12.4,USA,39.10077,-96.56309,381,2017
PR-xLA,NEON Lajas Experimental Station ,LAJA,Cove Sturtevant (csturtevant@battelleecology.org),,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Am,Tropical monsoon,1168,25,Puerto Rico,18.02125,-67.0769,24,
US-xLE,NEON Lenoir Landing ,LENO,Stefan Metzger (neon-ameriflux@battelleecology.org),,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1386.24,18.1,USA,31.85388,-88.16122,20,
US-xML,NEON Mountain Lake Biological Station ,MLBS,Cove Sturtevant (csturtevant@battelleecology.org),,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1227.82,8.8,USA,37.37828,-80.52484,1126,
US-xMB,NEON Moab ,MOAB,David Durden (ddurden@battelleecology.org),,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bsk,Steppe: warm winter,319.46,10.1,USA,38.24833,-109.38827,1767,
US-xNW,NEON Niwot Ridge Mountain Research Station ,NIWO,David Durden (ddurden@battelleecology.org),,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",1004.54,0.3,USA,40.05425,-105.58237,3513,
US-xNG,NEON Northern Great Plains Research Laboratory ,NOGP,Cove Sturtevant (csturtevant@battelleecology.org),,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,456.51,5.9,USA,46.76972,-100.91535,578,
US-xAE,NEON Klemme Range Research Station ,OAES,David Durden (ddurden@battelleecology.org),,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",778.85,15.5,USA,35.41059,-99.05879,516,
US-xNQ,NEON Onaqui-Ault ,ONAQ,David Durden (ddurden@battelleecology.org),,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,288.31,9,USA,40.17759,-112.45244,1685,
US-xRN,NEON Oak Ridge National Lab ,ORNL,Cove Sturtevant (csturtevant@battelleecology.org),,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1340.32,14.4,USA,35.96412,-84.2826,334,
US-xSB,NEON Ordway-Swisher Biological Station ,OSBS,Cove Sturtevant (csturtevant@battelleecology.org),,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1302.09,20.9,USA,29.68927,-81.99343,45,
US-xPU,NEON Pu'u Maka'ala Natural Area Reserve ,PUUM,David Durden (ddurden@battelleecology.org),,EBF,Evergreen Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees and shrubs remain green year round. Canopy is never without green foliage.,Cfb,"Marine West Coast: mild with no dry season, warm summer",2685,13,USA,19.55309,-155.31731,1685,
US-xRM,"NEON Rocky Mountain National Park, CASTNET ",RMNP,David Durden (ddurden@battelleecology.org),,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",730.59,2.9,USA,40.27591,-105.54592,2743,
US-xSC,NEON Smithsonian Conservation Biology Institute ,SCBI,David Durden (ddurden@battelleecology.org),,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1125.5,11.6,USA,38.89292,-78.1395,361,
US-xSE,NEON Smithsonian Environmental Research Center ,SERC,Cove Sturtevant (csturtevant@battelleecology.org),,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1074.65,13.6,USA,38.89008,-76.56001,15,
US-xSJ,NEON San Joaquin Experimental Range ,SJER,Cove Sturtevant (csturtevant@battelleecology.org),,SAV,"Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 10-30%. The forest cover height exceeds 2 meters.",Csa,"Mediterranean: mild with dry, hot summer",539.62,16.4,USA,37.10878,-119.73228,368,
US-xSP,NEON Soaproot Saddle ,SOAP,David Durden (ddurden@battelleecology.org),,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csa,"Mediterranean: mild with dry, hot summer",900.35,13.4,USA,37.03337,-119.26219,1160,
US-xSR,NEON Santa Rita Experimental Range ,SRER,Cove Sturtevant (csturtevant@battelleecology.org),,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bsk,Steppe: warm winter,346,19.3,USA,31.91068,-110.83549,983,2017
US-xST,NEON Steigerwaldt Land Services ,STEI,Stefan Metzger (neon-ameriflux@battelleecology.org),,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,797.56,4.8,USA,45.50894,-89.58637,481,
US-xSL,"NEON North Sterling, CO ",STER,Cove Sturtevant (csturtevant@battelleecology.org),,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Bsk,Steppe: warm winter,432.67,9.7,USA,40.4619,-103.0293,1364,
US-xTA,NEON Talladega National Forest ,TALL,David Durden (ddurden@battelleecology.org),,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1382.68,17.2,USA,32.95046,-87.39327,135,
US-xTE,NEON Lower Teakettle ,TEAK,Cove Sturtevant (csturtevant@battelleecology.org),,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csa,"Mediterranean: mild with dry, hot summer",1222.5,8,USA,37.00583,-119.00602,2147,
US-xTL,NEON Toolik ,TOOL,David Durden (ddurden@battelleecology.org),,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",ET,Tundra,331,-4,USA,68.66109,-149.37047,843,
US-xTR,NEON Treehaven ,TREE,Stefan Metzger (neon-ameriflux@battelleecology.org),,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,797.56,4.8,USA,45.49369,-89.58571,472,
US-xUK,NEON The University of Kansas Field Station ,UKFS,Cove Sturtevant (csturtevant@battelleecology.org),,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",990.63,12.7,USA,39.04043,-95.19215,335,
US-xUN,NEON University of Notre Dame Environmental Research Center ,UNDE,David Durden (ddurden@battelleecology.org),,MF,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,802.3,4.3,USA,46.23388,-89.53725,518,
US-xWD,NEON Woodworth ,WOOD,David Durden (ddurden@battelleecology.org),,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfb,Warm Summer Continental: significant precipitation in all seasons ,493.76,4.9,USA,47.12823,-99.24136,579,
US-xWR,NEON Wind River Experimental Forest ,WREF,David Durden (ddurden@battelleecology.org),,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",2225.01,9.2,USA,45.82049,-121.95191,407,
